"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"105","105",2088,1230,156,173,135,1202,233,10,83,529,34,367,34,106,67,1500,238,82,156,167,135,"TZA_KilimanjaroA1","Natural","Montane","Zambezian","Tanzania",-3.24007,37.45837,2000,81,6,1,1,0,1
"106","106",2805,1607,114,129,94,1349,258,14,79,563,46,405,47,99,66,1394,191,43,148,123,95,"TZA_KilimanjaroA2","Natural","Montane","Zambezian","Tanzania",-3.20765,37.447,2500,64,8,1,1,0,1
"107","107",3567,1694,70,84,51,1559,283,26,70,634,83,458,85,92,66,1306,143,4,139,77,52,"TZA_KilimanjaroA3","Natural","Montane","Zambezian","Tanzania",-3.17712,37.44022,3000,53,9,1,1,0,1
"108","108",3567,1694,70,84,51,1559,283,26,70,634,83,458,85,92,66,1306,143,4,139,77,52,"TZA_KilimanjaroA4","Natural","Montane","Zambezian","Tanzania",-3.14902,37.43555,3500,7,3,1,1,0,1
"109","109",4304,1219,29,42,12,1772,303,42,62,705,128,520,129,87,66,1182,99,-31,130,36,13,"TZA_KilimanjaroA5","Natural","Montane","Zambezian","Tanzania",-3.1261,37.42667,4000,87,3,1,1,0,1
"110","110",220,150,249,262,231,1100,215,5,78,561,30,426,30,79,67,1249,300,183,117,259,231,"TZA_Kingu","Mixed","Savanna","Zambezian","Tanzania",-8.433,38.633,170,225,8,1,1,0,1
"111","111",1159,14,207,210,201,1326,248,23,59,600,92,510,92,115,85,348,270,136,134,208,201,"TZA_Minziro","Natural","Montane","Congolian","Tanzania",-1.0942,31.5154,1160,210,12,1,1,0,1
"112","112",1144,178,210,223,186,742,189,1,91,389,7,389,9,115,70,1543,291,128,163,223,191,"TZA_Tarangire","Natural","Savanna","Zambezian","Tanzania",-3.88,36.03,1100,142,15,2,2,0,1
"113","113",1528,1297,189,205,166,1338,282,5,92,726,24,288,26,102,64,1550,269,110,159,196,171,"TZA_Udzungwa1","Natural","Forest","Zambezian","Tanzania",-8.517,35.9,600,19,5,1,1,0,1
"114","114",1528,1297,189,205,166,1338,282,5,92,726,24,288,26,102,64,1550,269,110,159,196,171,"TZA_Udzungwa2","Natural","Montane","Zambezian","Tanzania",-8.51,35.92,920,32,6,1,1,0,1
"115","115",1617,231,185,201,162,1272,265,5,91,684,23,277,25,103,64,1525,265,105,160,192,167,"TZA_Udzungwa3","Natural","Montane","Zambezian","Tanzania",-8.475,35.88,2460,66,6,1,1,0,1
"116","116",1992,264,165,180,142,1218,255,4,92,672,21,272,23,105,64,1483,246,84,162,174,148,"TZA_Udzungwa4","Natural","Montane","Zambezian","Tanzania",-8.35,35.95,2000,83,7,1,1,0,1
"117","117",415,1111,244,262,217,1561,365,11,89,894,51,426,58,71,54,1758,304,173,131,253,223,"TZA_Udzungwa5","Natural","Montane","Zambezian","Tanzania",-7.8478,36.8838,350,41,7,2,2,0,1
"118","118",797,1235,223,241,198,1422,304,7,86,785,39,443,45,83,59,1676,289,149,140,233,203,"TZA_Udzungwa6","Natural","Montane","Zambezian","Tanzania",-7.708,36.909,1200,48,7,2,2,0,1
"119","119",1021,587,200,221,176,1868,365,64,61,879,257,301,297,88,61,1761,278,135,143,208,219,"TZA_Usambara1","Natural","Montane","Zambezian","Tanzania",-5.1058,38.5978,1000,449,11,1,3,0,1
